phi_str_1,psi_str_1,phi_str_2,psi_str_2,phi_str_3,psi_str_3,phi_soft_1,psi_soft_1,phi_soft_3,psi_soft_3,phi_soft_4,psi_soft_4,phi_soft_5,psi_soft_5,phi_soft_6,psi_soft_6,phi_soft_7,psi_soft_7
-57.5,-7.5,,,,,-92.5,-142.5,72.5,87.5,,,,,,,,
-52.5,-7.5,,,,,-82.5,-142.5,72.5,82.5,,,,,,,,
-52.5,-12.5,,,,,-82.5,-147.5,77.5,82.5,,,,,,,,
-47.5,-12.5,,,,,-72.5,-147.5,77.5,77.5,,,,,,,,
-47.5,-22.5,,,,,-72.5,-152.5,82.5,77.5,,,,,,,,
-42.5,-22.5,,,,,-67.5,-152.5,82.5,57.5,,,,,,,,
-42.5,-32.5,,,,,-67.5,-157.5,,,,,,,,,,
-37.5,-32.5,,,,,-62.5,-157.5,,,,,,,,,,
-37.5,-62.5,,,,,-62.5,-162.5,,,,,,,,,,
-42.5,-62.5,,,,,-57.5,-162.5,,,,,,,,,,
-42.5,-67.5,,,,,-57.5,-167.5,,,,,,,,,,
-77.5,-67.5,,,,,-52.5,-167.5,,,,,,,,,,
-77.5,-62.5,,,,,-52.5,-172.5,,,,,,,,,,
-117.5,-62.5,,,,,-47.5,-172.5,,,,,,,,,,
-117.5,-57.5,,,,,-47.5,-177.5,,,,,,,,,,
-122.5,-57.5,,,,,-42.5,-177.5,,,,,,,,,,
-122.5,-47.5,,,,,-42.5,-180,,,,,,,,,,
-127.5,-47.5,,,,,-180,-180,,,,,,,,,,
-127.5,-37.5,,,,,-180,-147.5,,,,,,,,,,
-132.5,-37.5,,,,,-177.5,-147.5,,,,,,,,,,
-132.5,-17.5,,,,,-167.5,-147.5,,,,,,,,,,
-137.5,-17.5,,,,,-167.5,-142.5,,,,,,,,,,
-137.5,2.5,,,,,-157.5,-142.5,,,,,,,,,,
-142.5,2.5,,,,,-157.5,-137.5,,,,,,,,,,
-142.5,32.5,,,,,-147.5,-137.5,,,,,,,,,,
-137.5,32.5,,,,,-147.5,-132.5,,,,,,,,,,
-137.5,52.5,,,,,-142.5,-132.5,,,,,,,,,,
-142.5,52.5,,,,,-142.5,-127.5,,,,,,,,,,
-142.5,57.5,,,,,-147.5,-127.5,,,,,,,,,,
-147.5,57.5,,,,,-147.5,-97.5,,,,,,,,,,
-147.5,67.5,,,,,-152.5,-97.5,,,,,,,,,,
-152.5,67.5,,,,,-152.5,-92.5,,,,,,,,,,
-152.5,77.5,,,,,-157.5,-92.5,,,,,,,,,,
-147.5,77.5,,,,,-157.5,-82.5,,,,,,,,,,
-147.5,87.5,,,,,-162.5,-82.5,,,,,,,,,,
-152.5,87.5,,,,,-162.5,-52.5,,,,,,,,,,
-152.5,97.5,,,,,-157.5,-52.5,,,,,,,,,,
-157.5,97.5,,,,,-157.5,-37.5,,,,,,,,,,
-157.5,112.5,,,,,-162.5,-37.5,,,,,,,,,,
-162.5,112.5,,,,,-162.5,-7.5,,,,,,,,,,
-162.5,122.5,,,,,-167.5,-7.5,,,,,,,,,,
-167.5,122.5,,,,,-167.5,32.5,,,,,,,,,,
-167.5,132.5,,,,,-172.5,32.5,,,,,,,,,,
-172.5,132.5,,,,,-172.5,52.5,,,,,,,,,,
-172.5,142.5,,,,,-177.5,52.5,,,,,,,,,,
-180,142.5,,,,,-177.5,77.5,,,,,,,,,,
-180,180,,,,,-180,77.5,,,,,,,,,,
-62.5,180,,,,,-180,180,,,,,,,,,,
